id,jurisd_osm_id,ctype,pack_id,fhash,fname,fversion,is_valid,fmeta,config,ingest_instant
5224,297897,cad,32,05b3e8bbb3f5d7d023bc5b79e3eab2376ad3b3975ce8951ab59592d165af8d75,Planta_do_Município_(_Estradas_Rurais_)_2019.dwg,1,t,"{""ext"": ""dwg"", ""size"": 565536, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-09-17T23:49:06+00:00"", ""pack_id"": 32, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-LaranjalPaulista""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5225,297897,cad,32,d0f8c1d174d7bd2ad5ea593cc13cc3de068f6670e72d0d2406ff728e44bd5a1e,SIG_CAD_LARANJAL.dwg,1,t,"{""ext"": ""dwg"", ""size"": 7853888, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:05:05+00:00"", ""pack_id"": 32, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-LaranjalPaulista""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5226,297897,cad,32,3cda67b7524b1e073d8696a7abf8250456cb4c44f0dd087ff1c3b3dab1cac66e,SIG_CAD_LARANJAL_RURAL.dwg,1,t,"{""ext"": ""dwg"", ""size"": 30046208, ""isdir"": false, ""access"": ""2020-09-21T07:20:28+00:00"", ""change"": ""2020-08-14T17:05:01+00:00"", ""pack_id"": 32, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-LaranjalPaulista""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5227,368786,gdb,33,20a5f2d9de8495daa527940783431f724b133d6f6d4fa64f11bd1222e10f6389,OpenStreetMap.gdb.zip,1,t,"{""ext"": ""zip"", ""size"": 25593459, ""isdir"": false, ""access"": ""2020-09-21T07:20:22+00:00"", ""change"": ""2020-09-09T21:21:29+00:00"", ""pack_id"": 33, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-MG-Contagem""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5228,296625,eixos,34,7631ff6f484587e9db9e291b8124eeb32e9da9dccaafdf4f1b82bb0cb6a8a9b2,eixo_de_logradouro.zip,1,t,"{""ext"": ""zip"", ""size"": 395859, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-10T20:45:12+00:00"", ""pack_id"": 34, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SC-JaraguaSul""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5229,296625,quadras,34,b38da5d7879cc5e70ae10f505ad69dc7948b00dda440d0e6cc95f4401d50e19f,limite_de_quadra.zip,1,t,"{""ext"": ""zip"", ""size"": 1812635, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-10T20:45:18+00:00"", ""pack_id"": 34, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SC-JaraguaSul""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5230,296625,lotes,34,7af6cbd898f17fc413a5f75607ffe2f8da8a72535464badc03bdd5ad8b427f30,transfer.zip,1,t,"{""ext"": ""zip"", ""size"": 3963208, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-09-02T07:36:47+00:00"", ""pack_id"": 34, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SC-JaraguaSul""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5231,298285,data,35,99d4b808f96562bba371188209618c1fde319dc499780a48256c2037e8c8d1f9,IPTU_2020.zip,1,t,"{""ext"": ""zip"", ""size"": 125696085, ""isdir"": false, ""access"": ""2020-09-21T07:20:31+00:00"", ""change"": ""2020-08-05T13:27:03+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5232,298285,edificacoes,35,07e6c893a8d94f940e79d54bec151255b6de73141a1fb74a19654660b04dd978,SHP_edificacao_AGUA_RASA.zip,1,t,"{""ext"": ""zip"", ""size"": 7157772, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:42:23+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5233,298285,edificacoes,35,730a87396733f9b6e16cefc3af077ed77cd12d82690298cb4d5b258e4b2ccca7,SHP_edificacao_ALTO_DE_PINHEIROS.zip,1,t,"{""ext"": ""zip"", ""size"": 4248856, ""isdir"": false, ""access"": ""2020-09-21T07:20:32+00:00"", ""change"": ""2020-08-05T12:42:58+00:00"", ""pack_id"": 35, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-SaoPaulo""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
