HouseNumber,SRID_29193
0532,POINT (348030.086182 7347210.596708)
0260,POINT (352332.314524 7349822.005882)
1440,POINT (352330.924970 7349813.254593)
0241,POINT (348550.072658 7345944.920430)
0380,POINT (349597.947019 7347313.033505)
0400,POINT (349606.960642 7347306.224945)
0418,POINT (349610.988675 7347303.042141)
0396,POINT (349704.602502 7347217.974711)
0390,POINT (349692.398671 7347202.507434)
0420,POINT (349686.604768 7347194.620842)
0521,POINT (349666.761062 7347203.114094)
0511,POINT (349659.287807 7347208.805937)
0501,POINT (349649.885315 7347216.286396)
0491,POINT (349642.146861 7347223.683610)
0495,POINT (349625.117128 7347236.559045)
0461,POINT (349620.040692 7347240.809552)
0451,POINT (349614.827867 7347244.741373)
0441,POINT (349611.321609 7347247.391784)
0437,POINT (349604.309083 7347252.597600)
0433,POINT (349599.855194 7347256.194533)
0431,POINT (349596.633201 7347258.844944)
0421,POINT (349590.238597 7347264.088788)
0432,POINT (349666.466993 7347174.358009)
0430,POINT (349659.743874 7347179.891621)
0420,POINT (349652.766076 7347185.571605)
0143,POINT (351703.248409 7350153.876031)
0123,POINT (348582.915173 7346272.714846)
0253,POINT (348692.541739 7346346.128835)
0100,POINT (350416.748175 7346075.445580)
PROC. 15778/12,POINT (350942.573127 7346373.547189)
0207,POINT (350935.230281 7346370.366353)
EMPLACAMENTO PREVISTO,POINT (350940.044963 7346379.110699)
8761,POINT (348766.979101 7347052.827791)
8701,POINT (348810.629428 7347093.067539)
8691,POINT (348817.364543 7347098.759198)
8601,POINT (348882.511294 7347162.587302)
8591,POINT (348889.246409 7347168.278961)
8501,POINT (348954.393159 7347232.107065)
8491,POINT (348961.128274 7347237.798724)
8401,POINT (349026.275024 7347301.626828)
8391,POINT (349033.009208 7347307.317686)
8301,POINT (349098.155959 7347371.145790)
8291,POINT (349104.892005 7347376.838250)
P/ AV. LILIAN F. LACERDA,POINT (349665.879623 7347965.647481)
EMPLACAMENTO PREVISTO,POINT (349666.723686 7347965.837165)
P/ AV. LILIAN F. LACERDA,POINT (349595.490459 7347893.679380)
EMPLACAMENTO PREVISTO,POINT (349596.334523 7347893.869065)
P/ AV. LILIAN F. LACERDA,POINT (349521.129931 7347823.819481)
EMPLACAMENTO PREVISTO,POINT (349521.973995 7347824.009165)
P/ AV. LILIAN F. LACERDA,POINT (349446.336971 7347754.984292)
EMPLACAMENTO PREVISTO,POINT (349447.181035 7347755.173976)
P/ AV. LILIAN F. LACERDA,POINT (349373.990949 7347680.741924)
EMPLACAMENTO PREVISTO,POINT (349374.835013 7347680.931608)
7901,POINT (349372.088800 7347677.727096)
7891,POINT (349378.312730 7347684.104764)
7801,POINT (349444.202564 7347751.066398)
7791,POINT (349450.426494 7347757.444065)
7701,POINT (349518.398208 7347819.614299)
7691,POINT (349524.622138 7347825.991966)
7601,POINT (349592.739546 7347889.598519)
7591,POINT (349598.963476 7347895.976186)
7501,POINT (349662.811040 7347962.338750)
7491,POINT (349669.034970 7347968.716417)
0610,POINT (350317.723456 7346682.725732)
0600,POINT (350326.328756 7346691.636509)
0590,POINT (350333.061400 7346701.662893)
0580,POINT (350340.236387 7346711.529545)
0570,POINT (350347.174030 7346720.944323)
0631,POINT (350207.936763 7346769.455963)
0621,POINT (350216.541743 7346778.366994)
0611,POINT (350223.274387 7346788.393378)
0601,POINT (350230.449374 7346798.260031)
0591,POINT (350237.387017 7346807.674809)
1331,POINT (350292.534194 7346699.472642)
1261,POINT (350231.550735 7346748.032289)
1330,POINT (350325.088762 7346741.226447)
1260,POINT (350264.947162 7346789.895125)
P/ AV. LILIAN F. LACERDA,POINT (349217.391012 7347500.782249)
EMPLACAMENTO PREVISTO,POINT (349217.892284 7347500.971594)
P/ AV. LILIAN F. LACERDA,POINT (349224.238070 7347507.369510)
EMPLACAMENTO PREVISTO,POINT (349224.739342 7347507.558855)
P/ AV. LILIAN F. LACERDA,POINT (349232.849383 7347515.392153)
EMPLACAMENTO PREVISTO,POINT (349233.350655 7347515.581498)
P/ AV. LILIAN F. LACERDA,POINT (349247.149048 7347527.063213)
EMPLACAMENTO PREVISTO,POINT (349248.536504 7347528.188718)
P/ AV. LILIAN F. LACERDA,POINT (349252.349868 7347537.303970)
EMPLACAMENTO PREVISTO,POINT (349252.851139 7347537.493315)
P/ AV. LILIAN F. LACERDA,POINT (349259.546128 7347543.615318)
EMPLACAMENTO PREVISTO,POINT (349260.461735 7347544.006033)
P/ AV. LILIAN F. LACERDA,POINT (349265.649344 7347551.707655)
EMPLACAMENTO PREVISTO,POINT (349266.150616 7347551.897000)
P/ AV. LILIAN F. LACERDA,POINT (349273.358478 7347558.073918)
EMPLACAMENTO PREVISTO,POINT (349273.859750 7347558.263263)
P/ AV. LILIAN F. LACERDA,POINT (349280.194415 7347565.077760)
EMPLACAMENTO PREVISTO,POINT (349280.695687 7347565.267105)
P/ AV. LILIAN F. LACERDA,POINT (349379.721939 7347666.189057)
EMPLACAMENTO PREVISTO,POINT (349380.223211 7347666.378402)
P/ AV. LILIAN F. LACERDA,POINT (349371.094450 7347658.170143)
EMPLACAMENTO PREVISTO,POINT (349371.595721 7347658.359488)
P/ AV. LILIAN F. LACERDA,POINT (349362.974499 7347649.971531)
EMPLACAMENTO PREVISTO,POINT (349363.475771 7347650.160876)
P/ AV. LILIAN F. LACERDA,POINT (349350.794911 7347636.924359)
EMPLACAMENTO PREVISTO,POINT (349351.296183 7347637.113704)
P/ AV. LILIAN F. LACERDA,POINT (349329.010838 7347615.572082)
EMPLACAMENTO PREVISTO,POINT (349329.512110 7347615.761426)
P/ AV. LILIAN F. LACERDA,POINT (349323.010689 7347608.443238)
