HouseNumber,SRID_29193
0158,POINT (351326.711841 7349993.922877)
0178,POINT (351341.855801 7350007.173319)
0182,POINT (351348.988963 7350013.414590)
0188,POINT (351355.132396 7350018.789881)
0190,POINT (351357.367726 7350020.745718)
0256,POINT (351340.529836 7350091.102756)
0549,POINT (351439.756803 7350037.484596)
0300,POINT (351464.206964 7350058.356410)
0435,POINT (351322.982929 7350072.528533)
0445,POINT (351331.851801 7350068.278853)
0452,POINT (351341.427294 7350065.016255)
0465,POINT (351350.761668 7350061.835813)
0485,POINT (351369.687644 7350055.387283)
0495,POINT (351379.110378 7350052.176734)
0505,POINT (351388.672228 7350048.918785)
0509,POINT (351395.742406 7350046.509808)
0515,POINT (351397.967937 7350045.751516)
0525,POINT (351407.475578 7350042.512038)
0535,POINT (351417.072786 7350039.242042)
0545,POINT (351427.217855 7350035.914658)
0510,POINT (351456.061635 7350068.386754)
0506,POINT (351448.982439 7350070.798804)
0500,POINT (351439.627791 7350073.986155)
0490,POINT (351430.031554 7350077.255820)
0480,POINT (351420.719449 7350080.428675)
0470,POINT (351411.075794 7350083.714497)
0460,POINT (351408.823905 7350084.481770)
0452,POINT (351399.238093 7350087.747883)
0454,POINT (351392.363830 7350090.090108)
0420,POINT (351359.651214 7350100.015785)
0418,POINT (351351.296318 7350102.669811)
0045,POINT (351151.109861 7349956.875524)
0065,POINT (351165.749163 7349969.684409)
0234,POINT (351118.063099 7350117.626252)
0240,POINT (351125.014103 7350113.902744)
0054,POINT (350977.170373 7350027.700756)
0058,POINT (350982.891632 7350032.706660)
0062,POINT (350984.869212 7350034.436974)
0068,POINT (350990.327515 7350039.212801)
0074,POINT (350992.389347 7350041.016833)
0078,POINT (350997.841894 7350045.787623)
0082,POINT (350999.882483 7350047.573068)
0090,POINT (351005.449558 7350052.444066)
0092,POINT (351007.392862 7350054.144391)
0100,POINT (351012.891150 7350058.955203)
0110,POINT (351014.783005 7350060.610510)
0118,POINT (351024.671492 7350069.262595)
0122,POINT (351030.142279 7350074.049345)
0126,POINT (351032.152116 7350075.807883)
0132,POINT (351037.700483 7350080.662522)
0142,POINT (351039.565920 7350082.294705)
0152,POINT (351047.271024 7350089.036405)
0156,POINT (351054.503027 7350095.364159)
0162,POINT (351060.280512 7350100.419258)
0172,POINT (351062.359043 7350102.237902)
0176,POINT (351068.045066 7350107.212975)
0165,POINT (351103.561345 7350085.467014)
0159,POINT (351101.827546 7350083.950001)
0157,POINT (351095.942495 7350078.800784)
0149,POINT (351094.553781 7350077.585707)
0139,POINT (351088.166742 7350071.997278)
0105,POINT (351064.339268 7350051.149051)
0101,POINT (351058.266839 7350045.835885)
0095,POINT (351050.734317 7350039.245188)
0083,POINT (351040.792069 7350030.546074)
0077,POINT (351039.181748 7350029.137090)
0073,POINT (351033.489033 7350024.156170)
0067,POINT (351025.936142 7350017.547641)
0057,POINT (351024.484133 7350016.277183)
0053,POINT (351018.332204 7350010.894468)
0120,POINT (351071.340006 7350491.041921)
0155,POINT (350997.038786 7350364.465689)
0145,POINT (350996.555665 7350366.909028)
0160,POINT (351041.682435 7350345.415269)
0087,POINT (350931.933690 7350364.321321)
0077,POINT (350930.005520 7350374.063633)
0175,POINT (351043.461072 7350116.796169)
0027,POINT (350932.509089 7350019.569739)
0035,POINT (350939.880820 7350026.118538)
0192,POINT (351059.444531 7350136.253764)
0182,POINT (351054.842665 7350138.779385)
0170,POINT (351038.242189 7350146.231715)
0158,POINT (351019.361199 7350152.145267)
0198,POINT (351012.132154 7350145.646286)
0194,POINT (351005.985416 7350140.268102)
0188,POINT (351004.659602 7350139.108060)
0184,POINT (350998.548678 7350133.761212)
0178,POINT (350997.087381 7350132.482628)
0174,POINT (350990.980059 7350127.138933)
0168,POINT (350983.631721 7350120.709390)
0158,POINT (350976.115788 7350114.133209)
0132,POINT (350959.459769 7350098.494612)
0130,POINT (350954.358605 7350093.642153)
0122,POINT (350949.445288 7350090.797441)
0116,POINT (350943.554081 7350085.642839)
0106,POINT (350942.101235 7350084.371648)
0074,POINT (350919.586337 7350064.903111)
0070,POINT (350913.369855 7350059.232683)
0064,POINT (350906.022901 7350052.804351)
0068,POINT (350912.133765 7350058.052511)
0035,POINT (350891.152795 7350039.793531)
0167,POINT (351040.200439 7350113.591726)
0163,POINT (351034.166605 7350108.312340)
0155,POINT (351026.868994 7350101.927172)
0145,POINT (351019.272959 7350095.280904)
0137,POINT (351017.462131 7350093.696502)
0131,POINT (351011.421987 7350088.411584)
0127,POINT (351009.944160 7350087.118527)
0123,POINT (351004.214135 7350082.104962)
0097,POINT (350987.473661 7350067.457616)
0095,POINT (350981.857349 7350062.543537)
0077,POINT (350970.032680 7350052.197359)
0075,POINT (350964.316672 7350047.196049)
0067,POINT (350962.551242 7350045.651359)
0061,POINT (350956.830649 7350040.646038)
0034,POINT (350934.062720 7350020.724896)
0021,POINT (350926.474673 7350014.085607)
0067,POINT (350904.884619 7350007.100360)
0061,POINT (350893.232843 7350011.241469)
0057,POINT (350881.926898 7350016.475365)
0122,POINT (350983.846785 7350162.864245)
0128,POINT (350991.379839 7350159.068425)
0155,POINT (350957.275539 7350125.410866)
0165,POINT (350970.571014 7350137.043947)
0141,POINT (350947.760588 7350117.085611)
0135,POINT (350942.245587 7350112.260186)
0125,POINT (350940.380011 7350110.627861)
0121,POINT (350934.545247 7350105.522644)
0115,POINT (350932.697158 7350103.905630)
0105,POINT (350919.629558 7350092.471931)
0081,POINT (350907.916122 7350082.223079)
0077,POINT (350902.010566 7350077.055921)
0089,POINT (350893.015713 7350069.185736)
0065,POINT (350885.431230 7350062.549575)
0055,POINT (350878.015657 7350056.061204)
0051,POINT (350871.983648 7350050.783405)
0047,POINT (350864.420715 7350044.166099)
0035,POINT (350856.944649 7350037.624809)
0182,POINT (350929.804802 7350156.327288)
0162,POINT (350914.717879 7350143.126751)
0152,POINT (350907.280462 7350136.619267)
0142,POINT (350899.725558 7350130.008988)
0126,POINT (350890.372119 7350121.825052)
0122,POINT (350884.523557 7350116.707761)
0112,POINT (350880.586275 7350113.262775)
0110,POINT (350874.805676 7350108.204951)
0102,POINT (350873.190160 7350106.791430)
0094,POINT (350865.678712 7350100.219172)
0090,POINT (350859.734415 7350095.018118)
0088,POINT (350858.160131 7350093.640674)
0080,POINT (350852.298284 7350088.511760)
0070,POINT (350844.613166 7350081.787547)
0060,POINT (350837.139196 7350075.248081)
0050,POINT (350829.705062 7350068.743470)
0040,POINT (350822.259818 7350062.229139)
0028,POINT (350904.499044 7350189.717725)
0042,POINT (350917.424507 7350186.642531)
0058,POINT (350922.430985 7350181.747972)
0052,POINT (350919.844006 7350184.248428)
0092,POINT (350866.829352 7350188.003235)
0082,POINT (350864.950650 7350186.359436)
0072,POINT (350857.263628 7350179.633557)
0068,POINT (350851.669485 7350174.738875)
0066,POINT (350849.851327 7350173.148049)
0064,POINT (350844.165539 7350168.173181)
0052,POINT (350836.894009 7350161.810844)
0032,POINT (350821.452297 7350148.299894)
0022,POINT (350814.008100 7350141.786463)
0177,POINT (350900.834635 7350161.096855)
0167,POINT (350886.735744 7350148.760812)
0157,POINT (350879.386070 7350142.330101)
0147,POINT (350871.884951 7350135.766881)
0137,POINT (350864.176316 7350129.022107)
0127,POINT (350863.163978 7350128.136331)
0117,POINT (350849.142863 7350115.868339)
0107,POINT (350841.723414 7350109.376577)
0097,POINT (350838.281712 7350106.365207)
0095,POINT (350831.880663 7350100.764510)
0089,POINT (350830.778570 7350099.800216)
0087,POINT (350824.355949 7350094.180645)
0085,POINT (350823.213788 7350093.181294)
0081,POINT (350816.878228 7350087.637897)
0061,POINT (350801.764164 7350074.413613)
0063,POINT (350808.285269 7350080.119371)
0065,POINT (350809.796876 7350081.441959)
0071,POINT (350815.703118 7350086.609716)
0061,POINT (351947.461832 7349704.469376)
0065,POINT (351952.445632 7349709.237329)
0345,POINT (348034.660677 7345845.357006)
0335,POINT (348044.323601 7345839.781402)
0285,POINT (348060.610769 7345826.987623)
0305,POINT (348068.110095 7345821.845917)
0295,POINT (348075.654989 7345815.833587)
0285,POINT (348084.062158 7345810.172820)
0275,POINT (348091.638308 7345803.862745)
0235,POINT (348123.600880 7345778.632755)
0225,POINT (348130.956482 7345772.873574)
0220,POINT (348101.218081 7345733.860919)
0230,POINT (348092.985195 7345740.275265)
0250,POINT (348077.725324 7345752.967564)
0280,POINT (348054.325206 7345771.934273)
0290,POINT (348046.607129 7345777.549817)
0340,POINT (348007.571148 7345809.036717)
0330,POINT (348015.396988 7345802.552104)
0323,POINT (348151.517685 7345847.167712)
0343,POINT (348135.728895 7345859.760914)
0353,POINT (348127.414769 7345866.346560)
0373,POINT (348112.229090 7345878.511325)
0403,POINT (348079.063347 7345903.744667)
0393,POINT (348096.702624 7345891.503261)
0286,POINT (348121.539700 7345809.725458)
0306,POINT (348106.228217 7345821.903623)
0316,POINT (348098.710713 7345828.035312)
0326,POINT (348090.242712 7345834.253362)
0336,POINT (348082.765407 7345840.492538)
0344,POINT (348077.414674 7345846.046087)
0348,POINT (348073.161530 7345849.268519)
0366,POINT (348059.095181 7345859.364083)
0395,POINT (348172.264819 7345923.163930)
0335,POINT (348220.490304 7345886.114077)
0300,POINT (348191.562878 7345848.463303)
0310,POINT (348182.243192 7345854.311278)
0330,POINT (348167.007463 7345867.149406)
0340,POINT (348158.903357 7345873.386222)
0400,POINT (348112.245240 7345910.389997)
0410,POINT (348104.322276 7345916.202672)
0486,POINT (348192.918797 7346031.281734)
0446,POINT (348225.617214 7346007.110406)
0436,POINT (348232.878697 7346000.905483)
0426,POINT (348240.623184 7345994.836338)
0406,POINT (348257.134428 7345983.127015)
0376,POINT (348280.784228 7345964.721759)
0320,POINT (348226.298878 7345912.318628)
0394,POINT (348194.699079 7345936.843161)
0404,POINT (348187.217238 7345943.421346)
0414,POINT (348179.236509 7345949.947534)
0424,POINT (348171.981297 7345955.929878)
0434,POINT (348163.547446 7345962.002617)
0454,POINT (348148.401867 7345974.692670)
0464,POINT (348140.511826 7345981.128218)
0371,POINT (348265.750418 7345946.241510)
0401,POINT (348241.836771 7345964.884772)
0411,POINT (348234.072487 7345970.921835)
0421,POINT (348226.367172 7345977.309969)
0431,POINT (348218.371466 7345983.310309)
0491,POINT (348170.244042 7346020.728012)
0481,POINT (348178.618951 7346014.173285)
0471,POINT (348186.793733 7346008.222754)
0441,POINT (348210.520163 7345989.504791)
0087,POINT (348247.381217 7345680.025183)
0097,POINT (348239.256242 7345687.980218)
0107,POINT (348232.563048 7345694.710258)
0117,POINT (348224.655648 7345701.299467)
0137,POINT (348207.146510 7345711.769498)
0147,POINT (348199.295207 7345717.963979)
0157,POINT (348191.444236 7345724.158222)
0167,POINT (348183.593265 7345730.352464)
0187,POINT (348175.742294 7345736.546706)
0197,POINT (348167.891323 7345742.740948)
0207,POINT (348160.040352 7345748.935190)
0217,POINT (348152.189381 7345755.129432)
0224,POINT (348252.133439 7345801.804691)
0330,POINT (348260.228840 7345890.344397)
0060,POINT (348302.200935 7345763.747292)
0066,POINT (348298.207496 7345766.901706)
0070,POINT (348292.969608 7345771.178087)
0288,POINT (348280.438078 7345871.670739)
0120,POINT (348474.243213 7345814.411946)
0092,POINT (348506.298684 7345789.611075)
0100,POINT (348498.853556 7345795.951830)
0162,POINT (348450.939541 7345832.890590)
0017,POINT (348318.273095 7345631.233819)
0027,POINT (348309.562832 7345638.003754)
0031,POINT (348301.757079 7345643.969937)
0047,POINT (348293.242406 7345649.931004)
0057,POINT (348285.282444 7345655.720364)
0067,POINT (348276.799909 7345661.139058)
0043,POINT (350026.293899 7346114.099695)
0192,POINT (350095.854927 7346049.764548)
0157,POINT (349898.200417 7346001.928496)
0192,POINT (349873.128236 7346074.355523)
0168,POINT (349894.248787 7346082.747283)
0112,POINT (349945.059217 7346103.423932)
0071,POINT (349936.867912 7346143.197325)
0085,POINT (349923.427359 7346141.649754)
0095,POINT (349911.476824 7346143.147042)
0107,POINT (349901.599991 7346146.599215)
0123,POINT (349891.697942 7346151.938856)
0009,POINT (349958.268222 7346151.912992)
0020,POINT (350033.860502 7346137.084076)
0074,POINT (350028.579210 7346147.089310)
0056,POINT (350018.207929 7346151.031168)
0046,POINT (350008.686890 7346154.487372)
0133,POINT (348966.509023 7345974.987398)
0137,POINT (348961.788858 7345978.610587)
0035,POINT (348911.083099 7345981.165034)
0025,POINT (348915.862246 7345990.194251)
0011,POINT (348926.160201 7346007.160232)
0064,POINT (348952.130904 7345923.850570)
0328,POINT (349877.280485 7345956.120646)
0336,POINT (349867.823212 7345952.286846)
0267,POINT (349822.586643 7346033.265518)
0084,POINT (349846.316072 7346075.666601)
0074,POINT (349842.255968 7346084.988740)
0083,POINT (349759.917525 7346044.791658)
0010,POINT (349750.806250 7346082.131174)
0118,POINT (351947.554196 7350085.303581)
0046,POINT (350045.982167 7346178.750892)
0036,POINT (350040.933812 7346191.357149)
0041,POINT (350015.841602 7346181.191350)
0017,POINT (349989.821196 7346190.884149)
0005,POINT (349976.364424 7346198.290745)
0158,POINT (349989.986809 7346204.469898)
0184,POINT (350009.264782 7346213.727201)
0174,POINT (349999.613102 7346209.182271)
1186,POINT (352072.534862 7349857.695001)
1182,POINT (352069.110022 7349861.362134)
0179,POINT (350504.223878 7347137.857828)
0037,POINT (351295.570581 7350383.525647)
0033,POINT (351294.001661 7350390.504591)
0023,POINT (351293.530968 7350393.798026)
1260,POINT (352139.996123 7349834.089118)
1254,POINT (352132.986436 7349836.491020)
0061,POINT (350033.303776 7346174.079225)
0534,POINT (349492.147721 7347477.043141)
0135,POINT (349393.163132 7347501.159822)
0197,POINT (349440.162801 7347463.863293)
0155,POINT (349408.829858 7347488.727859)
0180,POINT (349466.496528 7347513.118427)
0170,POINT (349458.663292 7347519.334569)
0140,POINT (349435.163584 7347537.982993)
0109,POINT (349366.052555 7347551.261303)
0572,POINT (349468.112982 7347446.756558)
0185,POINT (349432.329565 7347470.079434)
0125,POINT (349385.330150 7347507.376284)
0165,POINT (349416.663094 7347482.511718)
0130,POINT (349427.330094 7347544.198814)
0190,POINT (349474.329763 7347506.902285)
0185,POINT (349489.708577 7347520.214832)
0183,POINT (349483.795038 7347524.907579)
0027,POINT (349418.268145 7347617.060484)
0037,POINT (349412.052324 7347609.226994)
0007,POINT (349429.909023 7347631.751805)
0057,POINT (349400.591824 7347594.807901)
0047,POINT (349405.835862 7347601.394012)
0490,POINT (349519.498424 7347511.509633)
0476,POINT (349522.464242 7347516.824555)
0474,POINT (349527.186956 7347522.775856)
0458,POINT (349528.680384 7347524.657791)
0454,POINT (349533.403097 7347530.609092)
0452,POINT (349534.896525 7347532.491027)
0448,POINT (349539.619239 7347538.442328)
0127,POINT (349439.162834 7347559.126088)
0147,POINT (349454.829306 7347546.693804)
0086,POINT (349496.829504 7347583.516655)
0075,POINT (349488.996268 7347589.732797)
0066,POINT (349481.163032 7347595.948938)
0046,POINT (349465.496561 7347608.381222)
0126,POINT (349512.495976 7347571.084372)
0263,POINT (349807.364513 7347577.610376)
0227,POINT (349829.078492 7347605.077696)
0376,POINT (349865.564834 7347580.064422)
0436,POINT (349912.564249 7347542.767572)
0424,POINT (349903.164043 7347550.227194)
0461,POINT (349898.837054 7347486.873317)
0401,POINT (349851.837639 7347524.170167)
0389,POINT (349842.438079 7347531.629285)
0377,POINT (349833.038196 7347539.088655)
0400,POINT (349884.364277 7347565.145934)
0388,POINT (349874.964717 7347572.605052)
0364,POINT (349856.164951 7347587.523792)
0448,POINT (349921.963809 7347535.308454)
0412,POINT (349893.764160 7347557.686564)
0169,POINT (349864.995445 7347651.072629)
0165,POINT (349870.856391 7347658.458268)
0438,POINT (349962.549911 7347598.163521)
0434,POINT (349955.176526 7347604.014744)
0424,POINT (349949.549479 7347608.487355)
0449,POINT (349935.591011 7347552.509427)
0437,POINT (349926.191451 7347559.968545)
0425,POINT (349916.791245 7347567.428167)
0401,POINT (349897.991479 7347582.346907)
0389,POINT (349888.591919 7347589.806025)
0365,POINT (349869.792153 7347604.724765)
0400,POINT (349930.433181 7347623.564191)
0388,POINT (349921.033619 7347631.023306)
0448,POINT (349968.349245 7347593.568615)
0412,POINT (349939.833064 7347616.104821)
0460,POINT (349977.749128 7347586.109245)
0081,POINT (349920.724775 7347721.034849)
0461,POINT (349990.943267 7347603.173730)
0401,POINT (349943.943852 7347640.470580)
0389,POINT (349934.544290 7347647.929696)
0365,POINT (349915.744524 7347662.848436)
0376,POINT (349957.474917 7347696.290585)
0388,POINT (349966.874800 7347688.831215)
0364,POINT (349948.075034 7347703.749955)
0436,POINT (350004.474332 7347658.993735)
0448,POINT (350013.873895 7347651.534619)
0412,POINT (349985.674246 7347673.912729)
0460,POINT (350023.273778 7347644.075249)
0475,POINT (350044.035371 7347653.598751)
0439,POINT (350017.871756 7347676.092665)
0415,POINT (349999.185061 7347691.135192)
0403,POINT (349989.785499 7347698.594307)
0391,POINT (349980.385616 7347706.053677)
0379,POINT (349970.985733 7347713.513047)
0367,POINT (349962.369173 7347720.350803)
0357,POINT (349954.535938 7347726.566945)
0347,POINT (349946.702702 7347732.783086)
0335,POINT (349939.212359 7347738.727122)
0015,POINT (349955.455303 7347766.344885)
0358,POINT (349990.296407 7347766.395836)
0334,POINT (349972.386518 7347780.608406)
0346,POINT (349980.896524 7347773.855206)
0474,POINT (350078.297185 7347696.562473)
0440,POINT (350053.827408 7347715.987132)
0214,POINT (350580.298090 7347016.121513)
0229,POINT (350470.387514 7347096.087543)
0232,POINT (350468.971995 7347092.722172)
0226,POINT (350473.116757 7347097.919010)
1260,POINT (350560.260323 7347030.580469)
0253,POINT (350456.003748 7347077.961263)
0228,POINT (350583.567437 7347005.790475)
0240,POINT (350577.081682 7346997.617487)
1165,POINT (350500.913881 7347102.099776)
1260,POINT (350606.259771 7347088.546414)
1183,POINT (350511.115795 7347094.003423)
1184,POINT (350545.160532 7347137.032319)
0202,POINT (350601.518687 7347028.411641)
1260,POINT (350652.259219 7347146.512359)
0093,POINT (350555.462014 7347203.293036)
0129,POINT (350534.399652 7347176.752078)
0117,POINT (350540.542954 7347184.493524)
0081,POINT (350562.255700 7347211.854720)
1184,POINT (350591.159980 7347194.998264)
0080,POINT (350675.566333 7347121.722365)
0116,POINT (350654.161838 7347094.749611)
0104,POINT (350661.621208 7347104.149494)
0128,POINT (350647.518135 7347086.377587)
0055,POINT (350580.399100 7347234.718023)
0043,POINT (350586.542722 7347242.459215)
1260,POINT (350698.258667 7347204.478304)
1261,POINT (350664.214185 7347161.449729)
0006,POINT (350721.565781 7347179.688310)
0018,POINT (350715.080026 7347171.515322)
0030,POINT (350707.620976 7347162.115184)
1397,POINT (350635.600972 7346901.938662)
1393,POINT (350628.227587 7346907.789885)
1389,POINT (350626.201089 7346909.398032)
1383,POINT (350618.827704 7346915.249255)
1431,POINT (350659.380596 7346881.877166)
0275,POINT (350570.842360 7346958.816829)
0265,POINT (350577.084438 7346966.682748)
0259,POINT (350582.518577 7346971.978004)
0255,POINT (350588.268465 7346979.197532)
1444,POINT (350702.801812 7346917.417201)
1432,POINT (350693.395315 7346924.868235)
1348,POINT (350627.596134 7346977.083825)
1360,POINT (350640.339315 7346965.827787)
1354,POINT (350632.968067 7346971.677313)
1372,POINT (350649.739198 7346958.368417)
1366,POINT (350642.367950 7346964.217943)
1420,POINT (350687.338409 7346928.531192)
1414,POINT (350679.959147 7346934.387078)
1396,POINT (350668.538964 7346943.449677)
1390,POINT (350661.167716 7346949.299204)
1432,POINT (350738.490662 7346981.754711)
1403,POINT (350691.000303 7346952.445237)
1401,POINT (350683.626597 7346958.296715)
1347,POINT (350639.580863 7346992.058701)
1360,POINT (350682.121128 7347026.548436)
1384,POINT (350700.920894 7347011.629697)
1371,POINT (350658.380629 7346977.139961)
1431,POINT (350705.380044 7346939.843111)
1407,POINT (350733.053107 7347013.614019)
0093,POINT (350684.002394 7347101.414150)
1434,POINT (350788.737509 7347037.003457)
1430,POINT (350781.366261 7347042.852984)
0107,POINT (350674.517473 7347087.909894)
0103,POINT (350680.267107 7347095.129102)
0129,POINT (350662.890955 7347074.811347)
0105,POINT (350676.542704 7347092.014521)
0081,POINT (350690.867825 7347110.066242)
1422,POINT (350746.391299 7347002.958427)
1416,POINT (350739.025928 7347008.803290)
1374,POINT (350741.738094 7347074.300307)
1360,POINT (350729.024676 7347085.593851)
1396,POINT (350757.224325 7347063.215741)
1408,POINT (350766.624462 7347055.756691)
1447,POINT (350794.800708 7347033.349091)
1456,POINT (350802.884904 7347026.981860)
1455,POINT (350769.299461 7346984.850367)
1359,POINT (350695.453896 7347043.451244)
1371,POINT (350704.853779 7347035.991874)
1383,POINT (350714.253662 7347028.532504)
1435,POINT (350751.853194 7346998.695024)
1443,POINT (350761.253077 7346991.235655)
0013,POINT (350726.942480 7347155.699747)
1318,POINT (350743.066022 7347168.920463)
1355,POINT (350736.279700 7347104.260906)
1387,POINT (350760.562731 7347084.990867)
1399,POINT (350769.179291 7347078.153111)
1411,POINT (350778.585788 7347070.702077)
1459,POINT (350814.872733 7347041.893151)
1447,POINT (350806.785437 7347048.323967)
0241,POINT (350849.804983 7346780.487744)
1784,POINT (351013.126632 7346764.013740)
1772,POINT (351004.957499 7346770.496436)
1760,POINT (350995.565631 7346777.949446)
1676,POINT (350883.857306 7346772.127731)
1688,POINT (350893.257189 7346764.668361)
1723,POINT (350888.111081 7346700.365831)
0155,POINT (350903.007424 7346847.347561)
0167,POINT (350896.278060 7346838.867591)
0205,POINT (350874.925060 7346810.693959)
1735,POINT (350944.160085 7346751.653224)
1747,POINT (350953.551633 7346744.200469)
1699,POINT (350915.960116 7346774.031588)
1736,POINT (350976.766185 7346792.867931)
1676,POINT (350929.664569 7346829.963668)
1700,POINT (350948.464335 7346815.044928)
1724,POINT (350967.357967 7346800.333916)
1748,POINT (350986.165748 7346785.408816)
1783,POINT (350981.773914 7346722.050000)
1675,POINT (350897.160350 7346788.950328)
1687,POINT (350906.560233 7346781.490958)
1711,POINT (350925.351984 7346766.578578)
1723,POINT (350934.760202 7346759.112594)
0081,POINT (350948.921305 7346905.451254)
1734,POINT (351026.867878 7346848.032752)
1730,POINT (351019.496630 7346853.882278)
0080,POINT (351057.950543 7346813.550679)
1765,POINT (351011.387894 7346792.840750)
1759,POINT (351006.595502 7346796.323153)
0131,POINT (350920.246631 7346869.498817)
0117,POINT (350927.273201 7346878.171518)
0105,POINT (350934.732571 7346887.571401)
1676,POINT (350976.555182 7346889.164096)
1688,POINT (350985.955065 7346881.704726)
1700,POINT (350995.354948 7346874.245356)
1712,POINT (351004.761191 7346866.794001)
1724,POINT (351014.161074 7346859.334631)
1760,POINT (351042.354363 7346836.948506)
1772,POINT (351051.730843 7346829.459645)
1783,POINT (351027.225875 7346780.074118)
1687,POINT (350952.861771 7346839.601797)
1711,POINT (350971.653522 7346824.689418)
1747,POINT (350999.657899 7346802.102617)
1771,POINT (351018.245412 7346787.392568)
1647,POINT (350966.076298 7346921.904069)
1683,POINT (350993.209835 7346900.371461)
1695,POINT (351002.609972 7346892.912411)
1707,POINT (351009.055920 7346888.987584)
1711,POINT (351014.854644 7346884.385950)
1715,POINT (351016.889156 7346882.771443)
1719,POINT (351022.695895 7346878.163448)
1727,POINT (351026.899364 7346873.650387)
1739,POINT (351035.509308 7346866.804296)
1790,POINT (351106.597810 7346880.436746)
1763,POINT (351054.309074 7346851.885556)
1775,POINT (351063.709212 7346844.426507)
0181,POINT (349815.933150 7347834.611520)
0171,POINT (349809.686116 7347839.568916)
0299,POINT (349910.974203 7347761.103232)
0309,POINT (349917.389010 7347756.012699)
0300,POINT (349944.186869 7347802.986516)
0176,POINT (349850.196737 7347877.573835)
0181,POINT (349769.933702 7347776.645575)
0309,POINT (349870.434944 7347696.891300)
0310,POINT (349903.590436 7347739.241685)
0300,POINT (349897.242844 7347744.278879)
0176,POINT (349804.197289 7347819.607890)
0170,POINT (349797.802658 7347824.682413)
0181,POINT (349723.934254 7347718.679630)
0171,POINT (349717.687220 7347723.637026)
0299,POINT (349818.021265 7347644.015954)
0310,POINT (349858.535565 7347682.017431)
0300,POINT (349852.187973 7347687.054626)
0180,POINT (349758.197841 7347761.641945)
0180,POINT (349712.198393 7347703.676000)
0249,POINT (349483.960295 7347429.107359)
0381,POINT (349584.294086 7347349.485966)
0378,POINT (349618.461048 7347392.524959)
0373,POINT (349630.293534 7347407.451911)
0383,POINT (349636.708019 7347402.361633)
0310,POINT (349670.808088 7347445.453710)
0300,POINT (349664.460496 7347450.490904)
0180,POINT (349570.470364 7347525.078224)
0181,POINT (349582.206225 7347540.081853)
0299,POINT (349676.293236 7347465.418177)
0309,POINT (349682.707467 7347460.327578)
0300,POINT (349710.459944 7347508.456849)
0180,POINT (349616.469812 7347583.044169)
0170,POINT (349610.075181 7347588.118691)
0181,POINT (349628.205673 7347598.047798)
0171,POINT (349621.958639 7347603.005194)
0299,POINT (349722.292684 7347523.384122)
0309,POINT (349728.706915 7347518.293523)
0300,POINT (349756.459392 7347566.422794)
0176,POINT (349662.469260 7347641.010114)
0437,POINT (349630.363592 7347312.927055)
0425,POINT (349620.963963 7347320.386745)
0410,POINT (349646.908704 7347369.950563)
0434,POINT (349664.435031 7347356.041851)
0458,POINT (349683.235051 7347341.123432)
0460,POINT (349692.120324 7347334.072436)
0480,POINT (349699.953560 7347327.856294)
0490,POINT (349707.786796 7347321.640152)
0514,POINT (349725.534524 7347307.556267)
0538,POINT (349744.334036 7347292.637206)
0528,POINT (349734.934407 7347300.096897)
0448,POINT (349780.933855 7347358.062842)
0509,POINT (349741.881984 7347320.090736)
0376,POINT (349724.534303 7347402.818741)
0519,POINT (349746.862417 7347314.948046)
0531,POINT (349756.262045 7347307.488355)
0475,POINT (349728.062651 7347329.866786)
0507,POINT (349737.462534 7347322.407416)
0459,POINT (349699.863002 7347352.244895)
0483,POINT (349718.662513 7347337.325835)
0400,POINT (349743.334323 7347387.900322)
0388,POINT (349733.934186 7347395.359371)
0364,POINT (349715.134420 7347410.278111)
0460,POINT (349790.333738 7347350.603472)
0424,POINT (349762.134089 7347372.981582)
0412,POINT (349752.734206 7347380.440952)
0425,POINT (349704.369171 7347449.940112)
0401,POINT (349717.949510 7347467.053299)
0377,POINT (349732.203207 7347485.014356)
0449,POINT (349792.861865 7347372.913991)
0437,POINT (349783.461727 7347380.373040)
0389,POINT (349745.862195 7347410.210520)
0401,POINT (349755.262333 7347402.751470)
0377,POINT (349736.462313 7347417.669890)
0473,POINT (349810.341689 7347359.042181)
0364,POINT (349761.133868 7347468.244056)
0436,POINT (349817.533166 7347423.487836)
0460,POINT (349836.333186 7347408.569417)
0424,POINT (349808.133537 7347430.947527)
0412,POINT (349798.733654 7347438.406897)
0327,POINT (349765.367576 7347524.219373)
0303,POINT (349779.620952 7347542.180686)
0315,POINT (349772.826946 7347533.619256)
0365,POINT (349773.061878 7347483.095205)
0473,POINT (349856.341137 7347417.008126)
0400,POINT (349834.334180 7347502.710927)
0388,POINT (349824.934619 7347510.170045)
0364,POINT (349806.134853 7347525.088785)
0424,POINT (349852.782753 7347488.259428)
0263,POINT (349934.684109 7347476.340270)
0589,POINT (349998.830396 7347407.580113)
0613,POINT (350017.630484 7347392.661121)
0541,POINT (349961.230864 7347437.417593)
0577,POINT (349989.430513 7347415.039483)
0625,POINT (350027.030045 7347385.202003)
0528,POINT (349984.479604 7347485.749602)
0636,POINT (350068.694443 7347420.774518)
0624,POINT (350059.556740 7347426.053641)
0588,POINT (350031.604691 7347448.663065)
0576,POINT (350022.204808 7347456.122435)
0191,POINT (349980.683236 7347534.306470)
0179,POINT (349988.142606 7347543.706353)
0155,POINT (350002.395983 7347561.667665)
0625,POINT (350073.619425 7347443.436921)
0601,POINT (350054.646740 7347458.337509)
